第一批, 天成价值优选2号, 民生银行
第一批, 华鑫信托少杰5号, 民生银行
第一批, 华鑫信托民鑫45号, 民生银行
第一批, 金谷信惠4号, 民生银行
第一批, 华鑫信托华鹏71号, 民生银行
第一批, 陕国投阳明3号, 民生银行
第一批, 陕国投善融3号, 民生银行
第一批, 西藏信托泓景16号, 民生银行
第一批, 华鑫信托复兴33号, 民生银行
第一批, 长安和而泰, 民生银行
第一批, 陕国投荣耀2号, 宁波银行_天启
第一批, 星和2号, 宁波银行_天启
第一批, 陕国投荣耀3号, 宁波银行_天启
第一批, 陕国投荣湾14号, 宁波银行_天启
第一批, 天风天成天晓2号, 宁波银行_天启
第一批, 鹏华资产瑶光1号, 宁波银行_天启
第一批, 鹏华资产百川1号, 鹏华资产管理
第一批, 鹏华资产从容2期, 鹏华资产管理
第一批, 鹏华资产瑶光1号, 鹏华资产管理
第一批, 古泉致远2号, 平安银行
第一批, 鹏华资产从容2期, 平安银行
第一批, 华润信托-慧睿2号, 平安银行
第一批, 华润信托-慧睿2号易同投资, 平安银行
第一批, 华润信托-慧睿2号盛世景, 平安银行
第一批, 外贸信托增远汇瀛1期, 平安银行
第一批, 菁英时代水木5号, 平安银行
第一批, 申万天风天勤, 浦发华润信托
第一批, 华润信托-恒富价值1号, 浦发华润信托
第一批, 丰盈5号, 浦发华润信托
第一批, 渤海富盈9号, 浦发华润信托
第一批, 国通信托聚赢60号, 浦发华润信托
第一批, 粤财信托腾鑫1号, 浦发华润信托
第一批, 厦门信托-天启一号, 厦门信托
第一批, 厦门信托-睿取5号, 厦门信托
第一批, 厦门信托-天勤33号, 厦门信托
第一批, 厦门信托天府1号, 厦门信托
第一批, 鲲凌11号, 厦门信托
第一批, 鲲凌13号, 厦门信托
第一批, 鲲凌15号, 厦门信托
第一批, 帝稳量化精选2号, 厦门信托
第一批, 帝稳量化精选1号, 厦门信托
第一批, 厦门信托汇富4号, 厦门信托
第一批, 厦门信托汇富1号, 厦门信托
第一批, 厦门信托汇富2号, 厦门信托
第一批, 厦门信托汇富3号, 厦门信托
第一批, 陕国投鑫鑫向荣97号, 陕国投
第一批, 陕国投融鑫12号, 陕国投
第一批, 陕国投秦峰计划, 陕国投
第一批, 鑫鑫向荣91号, 陕国投
第一批, 陕国投荣耀2号, 陕国投
第一批, 陕国投聚宝盆16号, 陕国投
第一批, 陕国投荣耀3号, 陕国投
第一批, 陕国投荣湾8号, 陕国投
第一批, 陕国投开云6号, 陕国投
第一批, 陕国投荣湾14号, 陕国投
第一批, 陕国投宏鼎优质成长, 陕国投
第一批, 陕国投荣湾7号, 陕国投
第一批, 陕国投盛安22号, 陕国投
第一批, 陕国投阳明3号, 陕国投
第一批, 陕国投善融3号, 陕国投
第一批, 汇盛达韵祥信托计划, 上海银行
第一批, 盛宇21号, 上海银行
第一批, 西藏信托泓景16号, 西藏信托
第一批, 北京光信股权投资基金, 信托中信公司
第一批, 丰岭稳健成长1期, 信托中信公司
第一批, 中信信托, 信托中信公司
第一批, 领星精选股票策略, 信托中信公司
第一批, 中信信赢2期, 信托中信公司
第一批, 中信信赢3期, 信托中信公司
第一批, 中信信托信赢4期, 信托中信公司
第一批, 兴业国际信托有限公司, 兴业资产托管
第一批, 兴易惠理1号, 兴业资产托管
第一批, 华宝裕祥7号, 兴业资产托管
第一批, 华润复利2号信托计划, 兴业资产托管
第一批, 华宝裕祥2号信托计划, 兴业资产托管
第一批, 方正东亚信托-神龙58号, 兴业资产托管
